2018-07-18 12:23:37,"Eu peguei spoiler do #MasterchefBR 

Perde muito a graça... :-("
2018-07-18 04:32:11,Não acredito que meu favorito Thiago saiu :( #MasterChefBR
2018-07-18 04:10:31,"#MasterChefBR smp quis a Eliane na final (espero q ela chegue lá), mas ver o Major sair doeu :("
2018-07-18 04:01:44,"Meu favorito do @masterchefbr saiu :( Tô bem triste. Chorei junto com o fogaça hahahahaha
#MasterChefBR 
Mas tenho… https://t.co/1THum4xIIC"
2018-07-18 03:41:07,"Mano, Hugo e Major era pra ser a final!!!
Tô nada bem com esta eliminação do Major :(
Foi mta cagada ele e o Hugo t… https://t.co/1Wyjt0jnpU"
2018-07-18 03:35:14,"O Fogaça levando o Major até a porta. Sério, sem condições :( #MasterChefBR"
2018-07-18 03:34:29,o Major com certeza merecia ganhar esse programa eu apostava nele desde o início meu coração tá em pedacinhos :( ma… https://t.co/LKufJemCta
2018-07-18 03:34:01,Queria muito que Thiago ganhasse esse mchef. Ele era o melhor de todos. Merecia muito :( #Masterchefbr
2018-07-18 03:33:38,"Thiago era um baita de um cozinheiro que eu poderia jurar que ia para a final, tô bem triste :( #MasterChefBR"
2018-07-18 03:33:37,"RT @mariduardaalves: Tô chorando com o Fogaça levando o Thiago, que cena :( #MasterChefBR"
2018-07-18 03:33:17,RT @EddySensualize: Major cozinhou muito bem. De verdade nao quería que saisse! :(  estava torcendo pro hugo e pra ele! Agora #GanhaHugo #M…
2018-07-18 03:33:08,"Tô chorando com o Fogaça levando o Thiago, que cena :( #MasterChefBR"
2018-07-18 03:32:58,Sabia que o Thiago iria sair :( #MasterChefBR
2018-07-18 03:32:50,Major cozinhou muito bem. De verdade nao quería que saisse! :(  estava torcendo pro hugo e pra ele! Agora… https://t.co/OqfGpPtBxX
2018-07-18 03:32:45,eu não aguento ver paola e hugo chorando num dia só é demais pra mim :( #masterchefbr
2018-07-18 03:32:44,"Major , seu lindo podia ter ficado no lugar da Maria. Eu tô muito triste :(
#MasterChefBR"
2018-07-18 03:32:39,O Thiago é sensacional! Que pena que saiu... :( #MasterChefBR
2018-07-18 03:32:37,"Paola devastada
Fogaça devastado
Até jackin
EU ENTÃO.. 
:(
#MasterChefBR"
2018-07-18 03:32:33,Que lindo .. lamentável não 👎 estar os dois :( #MasterChefBR
2018-07-18 03:32:19,"Feliz pelo Hugo e muito triste pelo major :( meus preferidos a essa altura
#MasterChefBR"
2018-07-18 03:32:18,"o thiago é príncipe também ne? to triste  :(
#MasterChefBR"
2018-07-18 03:32:16,Meu preferido foi embora! :( #MasterChefBR
2018-07-18 03:31:57,Mas não era pro major sair tmb né.  :( #MasterChefBR
2018-07-18 03:31:48,ai mano eu tô bem triste :(((( #MasterChefBR
2018-07-18 03:31:45,"#MasterChefBR agora que o Major saiu, não tenho ninguém pra torcer. É isto :("
2018-07-18 03:30:51,"feliz que o @HugoMChef ficou, mas o @ThiagoMChef sair :(((( #MasterChefBR"
2018-07-18 03:30:38,"Major também não merecia sair, meria estar numa final com o Hugo :(  #MasterChefBR"
2018-07-18 03:30:35,Não creio :( #MasterChefBR
2018-07-18 03:30:26,"estou triste pelo titi ter saído também :(
#masterchefBR"
2018-07-18 03:30:12,"Thiago era meu favorito, desde o começo :( #MasterChefBR"
2018-07-18 03:29:54,muito feliz que o hugo ficou mas ao mesmo tempo to triste pq o thiagoé muito bom não merecia ter saído :( #MasterChefBR
2018-07-18 03:29:41,#xatiado com a saída do Thiago do #MasterChefBR :(
2018-07-18 03:29:27,"thiago saiu :( 
#MasterChefBR"
2018-07-18 03:28:50,cancela essa eliminação...sério! :((( #MasterChefBR
2018-07-18 03:28:16,ver o Fogaça chorando parte o meu coração em mil pedacinhos :( #MasterChefBR
2018-07-18 03:28:12,aaaaaa tiraram o Thiago :( #MasterChefBR
2018-07-18 03:27:57,"fogaça chorando, acho que o major sai :(
#MasterChefBR"
2018-07-18 03:27:06,ai mds to tão nervosa quero que o hugo fique :( #MasterChefBR
2018-07-18 03:27:05,"Queria TANTO os dois na final, que tristeza :( #MasterChefBR"
2018-07-18 03:25:36,A final mais linda seria Hugo x Katleen ❤ :( #MasterChefBR
2018-07-18 03:24:03,RT @eaikirida: OS JURADOS CHORANDO :( EU NAO TO BEM!!!!!! #masterchefbr
2018-07-18 03:23:41,que negócio injusto era pra ser essa a final :( #MasterChefBR
2018-07-18 03:22:58,Essa final antecipada é maldade demais :((( #MasterChefBR
2018-07-18 03:22:58,se hoje eu já to chorando imagina na final :( #MasterChefBR
